Name,X  (NZGD2000),Y  (NZGD2000),Z,Type,Latitude  (WGS84),Longitude  (WGS84),,,Radius,Center X  (NZGD2000),Center Y  (NZGD2000),Center Latitude  (WGS84),Center Longitude  (WGS84),Attribute,Attribute,Attribute,Attribute,Attribute,Attribute,Attribute
RWY RWY-03/21,1434541.3661488,5268988.0010222,38.1000000,*,S42.7137906,E170.9794280,,,,,,,,424249.6460S,1705845.9409E,NZHK,,,,
THR RWY 26,1562804.5787346,5146786.2482987,7.9248000,*,S43.8310639,E172.5373778,,,,,,,,434951.83S,1723214.56E,NZTJ,,,,
THR RWY 08,1562482.8666344,5146882.5517835,7.0104000,*,S43.8301806,E172.5333833,,,,,,,,434948.65S,1723200.18E,NZTJ,,,,
THR RWY 19,1563154.2004064,5147173.5384829,7.9248000,*,S43.8275944,E172.5417528,,,,,,,,434939.34S,1723230.31E,NZTJ,,,,
THR RWY 01,1562572.2292503,5146402.0681885,7.9248000,*,S43.8345111,E172.5344611,,,,,,,,435004.24S,1723204.06E,NZTJ,,,,
THR RWY 26,1448943.0513504,5038568.5078497,21.6408000,*,S44.7903167,E171.0903611,,,,,,,,444725.14S,1710525.30E,NZWM,,,,
THR RWY 08,1448432.0742664,5038710.2359905,23.4696000,*,S44.7889333,E171.0839472,,,,,,,,444720.16S,1710502.21E,NZWM,,,,
RWY RWY-04/22,1449331.7477013,5038774.9083957,21.0312000,*,S44.7885417,E171.0953333,,,,,,,,444718.75S,1710543.20E,NZWM,,,,
THR RWY 22,1449304.3718430,5038760.9913580,21.0312000,*,S44.7886611,E171.0949833,,,,,,,,444719.18S,1710541.94E,NZWM,,,,
THR RWY 04,1448783.0863886,5038490.0340336,22.5552000,*,S44.7909889,E171.0883167,,,,,,,,444727.56S,1710517.94E,NZWM,,,,
THR RWY 02,1202746.7393154,5075225.4834539,9.1440000,*,S44.3673361,E168.0143972,,,,,,,,442202.41S,1680051.83E,NZMJ,,,,
THR RWY 20,1203050.4155847,5075568.5805473,9.1440000,*,S44.3644250,E168.0184556,,,,,,,,442151.93S,1680106.44E,NZMJ,,,,
RWY RWY-02/20,1202674.7662426,5075145.2122526,9.1440000,*,S44.3680167,E168.0134361,,,,,,,,442204.86S,1680048.37E,NZMJ,,,,
RWY RWY-04RL/22L,1551376.9663911,5186197.2263668,86.2584000,*,S43.4755611,E172.3988028,,,,,,,,432832.02S,1722355.69E,NZWL,,,,
THR RWY 04,1550441.8762676,5185832.2289721,92.9640000,*,S43.4787861,E172.3872083,,,,,,,,432843.63S,1722313.95E,NZWL,,,,
THR RWY 22,1551358.3505222,5186223.9323303,86.2584000,*,S43.4753194,E172.3985750,,,,,,,,432831.15S,1722354.87E,NZWL,,,,
THR RWY 35,1550524.8186626,5185551.1682407,89.9160000,*,S43.4813222,E172.3882083,,,,,,,,432852.76S,1722317.55E,NZWL,,,,
THR RWY 17,1550665.2142705,5186227.2202456,85.0392000,*,S43.4752444,E172.3900056,,,,,,,,432830.88S,1722324.02E,NZWL,,,,
THR RWY 29,1551455.3005150,5185740.2706762,85.6488000,*,S43.4796806,E172.3997306,,,,,,,,432846.85S,1722359.03E,NZWL,,,,
THR RWY 11,1550861.6270406,5186282.0285242,91.4400000,*,S43.4747639,E172.3924389,,,,,,,,432829.15S,1722332.78E,NZWL,,,,
THR RWY 31,1674295.8784624,6076151.4432380,167.0304000,*,S35.4553417,E173.8187389,,,,,,,,352719.23S,1734907.46E,NZKO,,,,
THR RWY 13,1673772.5151336,6076914.3064982,162.4584000,*,S35.4485028,E173.8129028,,,,,,,,352654.61S,1734846.45E,NZKO,,,,
THR RWY 35,1673918.7014491,6075961.9997533,160.3248000,*,S35.4570778,E173.8146000,,,,,,,,352725.48S,1734852.56E,NZKO,,,,
THR RWY 17,1674159.9315050,6077483.8663787,174.6504000,*,S35.4433389,E173.8171194,,,,,,,,352636.02S,1734901.63E,NZKO,,,,
RWY RWY-02/20,1902348.6862757,5567002.6757578,131.0640000,*,S39.9930694,E176.5413000,,,,,,,,395935.05S,1763228.68E,NZYP,,,,
THR RWY 20,1902212.7458519,5566876.1826668,131.0640000,*,S39.9942556,E176.5397694,,,,,,,,395939.32S,1763223.17E,NZYP,,,,
THR RWY 02,1901575.7595629,5566282.7660566,131.0640000,*,S39.9998194,E176.5325972,,,,,,,,395959.35S,1763157.35E,NZYP,,,,
THR RWY 04,1511604.1380262,5195881.7894098,365.4552000,*,S43.3847306,E171.9086694,,,,,,,,432305.03S,1715431.21E,NZSF,,,,
RWY RWY-04/22,1512177.6427130,5196219.1025043,360.5784000,*,S43.3817611,E171.9158028,,,,,,,,432254.34S,1715456.89E,NZSF,,,,
RWY RWY-04/22,1511457.4069057,5195796.5607860,370.6368000,*,S43.3854806,E171.9068444,,,,,,,,432307.73S,1715424.64E,NZSF,,,,
THR RWY 22,1512108.1870478,5196178.0886381,361.4928000,*,S43.3821222,E171.9149389,,,,,,,,432255.64S,1715453.78E,NZSF,,,,
THR RWY 28,1512032.5155615,5195836.7799817,363.9312000,*,S43.3851861,E171.9139500,,,,,,,,432306.67S,1715450.22E,NZSF,,,,
THR RWY 10,1511638.7006050,5196146.9725709,367.2840000,*,S43.3823472,E171.9091389,,,,,,,,432256.45S,1715432.90E,NZSF,,,,
RWY RWY-10/28,1511505.6621669,5196252.9132500,368.5032000,*,S43.3813778,E171.9075139,,,,,,,,432252.96S,1715427.05E,NZSF,,,,
RWY RWY-10/28,1512172.7934075,5195726.6038288,362.7120000,*,S43.3861944,E171.9156639,,,,,,,,432310.30S,1715456.39E,NZSF,,,,
THR RWY 27,2065656.0874918,5793674.3936519,67.0560000,*,S37.8853500,E178.2936639,,,,,,,,375307.26S,1781737.19E,NZRR,,,,
RWY RWY-09/27,2065735.2067672,5793612.0115030,67.0560000,*,S37.8858694,E178.2946000,,,,,,,,375309.13S,1781740.56E,NZRR,,,,
THR RWY 09,2064948.3801250,5794235.8519302,76.2000000,*,S37.8806722,E178.2852889,,,,,,,,375250.42S,1781707.04E,NZRR,,,,
RWY RWY-04/22,1559039.4393677,5213227.6331940,115.8240000,*,S43.2326333,E172.4955611,,,,,,,,431357.48S,1722944.02E,NZLA,,,,
THR RWY 22,1558977.3403883,5213201.6535682,115.8240000,*,S43.2328639,E172.4947944,,,,,,,,431358.31S,1722941.26E,NZLA,,,,
